State,County,Working Link,Link Type,Search Process,Update Time,Data Type,Person Crawling,Notes (WRITE A NOTE IF HISTORY EXISTS FOR THE STATE),Crawl Status,Working,Extra Link 1,Extra Link 2,Update,Extra Notes,index
Alabama,baldwin,http://bcsonline.co.baldwin.al.us/smartweb/jail.aspx,Alex,,Inactive,,DMJ,,,,,,,,0
Alabama,calhoun,https://www.calcoso.org/inmate-roster/,Direct,Manual,Day,html,,,Inactive,,,,,,1
Alabama,chilton,http://jail.chiltoncountyso.org/dcn/inmates,,Alex,,Inactive,,,,,,,,,2
Alabama,clarke,http://enigma.athensclarkecounty.com/photo/jailcurrent.asp,http://clarkecountyal.com/sheriffs-department/,https://www.athensclarkecounty.com/1298/Arrests-from-the-Last-7-Days,Alex,,Inactive,,,,,,,,3
Alabama,cleburne,http://www.cleburnecountyso.org/cur_inmates.html,http://cleburnecounty.us/law-enforcement-corrections/,https://www.inmateaid.com/prisons/cleburne-county-jail,https://alabamajailroster.com/county-jail/cleburne-county/,Alex,,Inactive,,,,,,,4
Alabama,coffee,https://mugshots.com/US-Counties/Alabama/Coffee-County-AL/,Direct,Manual,Day,html,,,Inactive,,,,,,5
Alabama,colbert,http://colbertsheriff.net/roster.php,http://quadcitiesdaily.com/?page_id=1143,Alex,,Inactive,,,,,,,,,6
Alabama,coosa,http://71.12.97.246/dcn/,http://raconmarketing.com/coosacountyso/inmateinformation.htm,https://bustednewspaper.com/category/al-mugshots/al-coosa/,Alex,,Inactive,,,,,,,,7
Alabama,dekalb,https://www.dekalbcountysheriff.org/roster.php,Alex,,Inactive,,,,,,,,,,8
Alabama,elmore,http://jailroster.elmorecounty.org:81,https://publicrecords.onlinesearches.com/AL_Elmore.htm,Alex,,Inactive,,,,,,,,,9
Alabama,fayette,http://www.fayetteso.com/roster.php,,Alex,,Inactive,,,,,,,,,10
Alabama,franklin,https://www.franklinsheriff.org/roster.php,,Alex,,Inactive,,,,,,,,,11
Alabama,greene,https://www.gcsoal.org/inmates,http://www.doc.alabama.gov/InmateSearch,Alex,,Inactive,,,,,,,,,12
Alabama,houston,http://vpn.houstoncountyso.org:8180/dcn/inmates,http://www.houstoncountysheriff.org,Alex,,Inactive,,,,,,,,,13
Alabama,jefferson,http://sheriff.jccal.org/NewWorld.InmateInquiry/AL0010000,http://sheriff.jccal.org/Shared/,Alex,,Inactive,,,,,,,,,14
Alabama,Lamar,https://www.inmateaid.com/inmate-locator/lamar-county-al-jail.amp,Manual,Manual,Day,html,Alex,,Inactive,,,,,,15
Alabama,marion,http://www.marionsoal.com/roster.php,https://www.inmateaid.com/prisons/marion-county-al-jail,Alex,,Inactive,,,,,,,,,16
Alabama,marshall,https://www.marshallso.org/roster.php,http://www.marshallcosheriff.org,,Andrea,,Inactive,,,,,,,,17
Alabama,mobile,http://whosinjail.mobileso.com/current_inmates.php,,Alex,,Inactive,,,,,,,,,18
Alabama,morgan,http://97.82.20.116/jailinmates.aspx,,Andrea,,Inactive,,,,,,,,,19
Alabama,randolph,http://randolphcountyso.org/cur_inmates.html,https://www.alabamaarrests.org/arrest/randolph-county.html,https://www.inmateaid.com/prisons/randolph-county-al-jail,Alex,,Inactive,,,,,,,,20
Alabama,shelby,http://inmatelisting.shelbyal.com,https://alabama.arrests.org/index.php?county=125,https://www.shelbycountyreporter.com/category/records/,Alex,,Inactive,,,,,,,,21
Alabama,talladega,http://97.82.2.131/dcn/inmates,https://www.inmateaid.com/prisons/talladega-county-al-jail,https://bustednewspaper.com/category/al-mugshots/al-talladega/,Alex,,Inactive,,,,,,,,22
Arizona,cochise 2,https://www.cochise.az.gov/sites/default/files/sheriff/public_info/mug_shots.pdf,Alex,,Inactive,pdf,DMJ,Times out during download of pdf file,,,,,,,23
Arizona,graham,https://www.graham.az.gov/DocumentCenter/View/502/Booking-Roster-PDF,https://www.inmateaid.com/prisons/graham-county-az-adult-detention,https://gilavalleycentral.net/tag/graham-county-jail-booking-roster/,https://www.eacourier.com/news/graham-county-jail-log/article_03a2e058-1a3b-11e8-aa2f-f7673610deef.html,Alex,,Inactive,,,,,,,24
Arizona,greenlee,https://www.co.greenlee.az.us/elected-officials/sheriff/arrest-log-information,https://www.co.greenlee.az.us/sheriff/,https://www.inmatelisting.org/az-greenlee-county/,https://gilavalleycentral.net/tag/greenlee-county-jail-booking-roster/,Alex,,Inactive,,,,,,,25
Arizona,navajo,http://www.extend.navajocountyaz.gov/sheriff/inmatehousing,Direct,Manual,Day,html,,No individual data available,Inactive,,,,,,26
Arizona,phoenix,https://phoenixbailbonds.co/arrest/search,Direct,Manual,Day,html,,,Inactive,,,,,,27
Arizona,cochise 1,https://www.cochise.az.gov/sites/default/files/sheriff/public_info/inmate_list.pdf,Alex,,Inactive,,,,,,,,,,28
Arizona,st luis,http://www.stlouiscountymn.gov/Portals/0/rpts/SLCJ_Jail_Roster.PDF,Alex,,Inactive,,,,,,,,,,29
Arkansas,baxter,https://www.baxtercountysheriff.com/roster.php,Alex,,Inactive,,,,,,,,,,30
Arkansas,boone,https://www.boonesheriff.com/roster.php,https://jailtracker.com/jtclientweb/(S(0jvrw245bicdc245gtcxw545))/jailtracker/index/Boone_County_IN,https://www.boonesheriff.com/roster_choose.php,http://harrisondaily.com/public_record/,Alex,,Inactive,,,,,,,31
Arkansas,carroll,http://www.hbeark.com/index.php?option=content&task=view&id=2377,Direct,Direct,Day,html,,,Inactive,,,,,,32
Arkansas,columbia,https://www.columbiacountysheriffar.org/roster.php,https://www.columbiacountysheriffar.org/roster.php?released=1,Alex,,Inactive,,,,,,,,,33
Arkansas,craighead,https://www.myr2m.com/craigheadroster/,Direct,Direct,Day,php,,,Inactive,,,,,,34
Arkansas,cross,https://www.crosscountysheriff.org/roster.php,https://www.crosscountysheriff.org/roster-choose,https://www.crosscountysheriff.org/roster.php?released=1,Alex,,Inactive,,,,,,,,35
Arkansas,faulkner,http://fcso.ar.gov/roster.php,http://fcso.ar.gov,https://www.inmateaid.com/prisons/faulkner-county-jail-detention-center-unit-1-2,Alex,,Inactive,,,,,,,,36
Arkansas,garland,http://findtheinmate.com/garland,Alex,,Inactive,,,,,,,,,,37
Arkansas,greene,https://www.inmateaid.com/inmate-locator/greene-county-ar-jail.amp,Manual,Manual,Day,html,Alex,http://greenecountyso.org/wanted.php,Inactive,,,,,,38
Arkansas,hempstead,https://www.hempsteadcountysheriff.org/roster.php,https://www.hempsteadcountysheriff.org/roster_choose.php,https://www.hempsteadcountysheriff.org/roster.php?released=1,Alex,,Inactive,,,,,,,,39
Arkansas,howard,http://howardcountysheriffar.com/roster.php,,Alex,,Inactive,,,,,,,,,40
Arkansas,jefferson,http://www.jeffcoso.org/roster.php,http://www.jeffcoso.org/mobile/released.php,Alex,,Inactive,,,,,,,,,41
Arkansas,johnson,https://www.myr2m.com/johnsoncoroster/,,Alex,,Inactive,,,,,,,,,42
Arkansas,lee,https://tcsi-roster.azurewebsites.net/default.aspx?i=26&code=Lee&type=roster,http://www.sheriffleefl.org/how_do_i/learn_more_about/arrest_search/index.php,http://www.sheriffleefl.org/how_do_i/learn_more_about/arrest_search/index.php?view=releasesToday,Alex,,Inactive,,,,,,,,43
Arkansas,lonoke,https://www.lonokeso.com/roster.php,https://bustednewspaper.com/category/ar-mugshots/ar-lonoke/,Alex,,Inactive,,,,,,,,,44
Arkansas,marion,https://www.marioncountysheriffar.com/roster.php,Alex,,Inactive,,,,,,,,,,45
Arkansas,monroe,https://www.monroecountysheriffar.com/roster.php,Alex,,Inactive,,,,,,,,,,46
Arkansas,newton,http://www.myr2m.com/NewtonCoRoster/,Alex,,Inactive,,,,,,,,,,47
Arkansas,ouachita,inmates.ouachitacountysheriff.org,,Alex,,Inactive,,,,,,,,,48
Arkansas,perry,https://www.inmateaid.com/inmate-locator/perry-county-ar-detention-center.amp,Andrea,,Inactive,,,,,,,,,,49
Arkansas,pike,https://www.inmateaid.com/inmate-locator/pike-county-ar-jail.amp,Manual,Manual,Day,html,Alex,,Inactive,,,,,,50
